Title,Location,Company,Salary,Sponsored,Description
Artificial Intelligence & Machine Learning - Corporate train...,"Thiruvananthapuram, Kerala",Oracuz Info Tech Pvt Ltd,None,Organic,"TATA ELXSI Ltd. is conducting off campus drive across India for BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc.
Salary : 3.5 Lacs-5 Lacs
Industry : IT-Software / Software Services
Functional Area : IT-Software / Software Services
Role : Junior Engineers
Keyskills
BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc. Mathematics Compulsory
Desired Candidate Profile
Company Profile:
Tata Elxsi is an Indian design company and a part of the Tata Group. It provides design and technology services for product engineering and solutions across industries including broadcast, communications, and automotive."
Artificial Intelligence Engineer,"Hyderabad, Telangana",Grid Logic Software Private Limited,None,Organic,"TATA ELXSI Ltd. is conducting off campus drive across India for BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc.
Salary : 3.5 Lacs-5 Lacs
Industry : IT-Software / Software Services
Functional Area : IT-Software / Software Services
Role : Junior Engineers
Keyskills
BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc. Mathematics Compulsory
Desired Candidate Profile
Company Profile:
Tata Elxsi is an Indian design company and a part of the Tata Group. It provides design and technology services for product engineering and solutions across industries including broadcast, communications, and automotive."
Data Science and Machine Learning Trainer,"Hyderabad, Telangana",Ambrapali Electrotech Private Limited,"₹30,000 - ₹50,000 a year",Organic,"We are looking for an organized and experienced Data Science and Machine Learning trainer to join our organization.
The Trainer Should have good knowledge of Python, Artificial Intelligence including Data Science and Machine Learning.
The trainer will be responsible for evaluating our needs and current practices and creating and delivering a training development plan complete with materials, tutorials, instructions, and learning resources such as online modules and guides.
The ideal Trainer will be a confident Live Public speaker in front of the Camera and a devoted educator who is up-to-date on the latest tools and resources needed to improve employee training and performance.
Job Types: Full-time, Part-time, Internship
Salary: ₹30,000.00 - ₹50,000.00 per year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Artificial Intelligence: 1 year (Preferred)
Data Science and Machine Learning: 1 year (Preferred)
python: 2 years (Preferred)
Education:
Bachelor's (Preferred)"
Machine Learning / Artificial Intelligence Engineer,"Bengaluru, Karnataka",The Alacer Group,"₹10,00,000 - ₹18,00,000 a year",Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
AI ChatBot Developer,"Chennai, Tamil Nadu",Celexa,None,Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
English Annotators - India,None,TransPerfect Translations Inc.,None,Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
"Software Engineer, Machine Learning","Hyderabad, Telangana",Google,None,Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
Artificial Intelligence Developer - Machine Learning/Deep Le...,India,StarTele Logic,None,Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
Machine Learning Specialist,"Hyderabad, Telangana",AlienTT,None,Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
Artificial Intelligence - NLP - Engineer,"Dadar, Mumbai, Maharashtra",Emotix Miko,"₹50,000 - ₹1,00,000 a month",Organic,"Summary
Miko is a Mumbai based advanced consumer robotics innovation lab passionate about bringing the best of technology to young learners everywhere and home to some of the world’s leading engineers, mathematicians, teachers and psychologists. Our robots have been designed for the age group of 5-10 and the company’s flagship product, Miko 2, is the first robot that uses playful, conversational learning to educate, engage and entertain kids and is best-selling in the US, UK and UAE besides India.
We are looking for an experienced AI-NLP engineer in the team. In this role, we expect you to have a strong logical reasoning and good mathematical skills with expertise in python deep learning frameworks. The ability to communicate effectively is essential.
Responsibilities
Designing and developing core AI/ML algorithms for diverse applications such as
sentence/document classification, language context understanding models, text search and processing, sentiment analysis, comprehension based question answering and dependency parsers
Regular interaction with the AI backend team for efficient development cycles.
Ensuring the timelines of AI production releases along with maintenance of services in thebproduction environment.
Keeping abreast of latest technologies/developments in AI such as releases of open source training libraries/frameworks, Hierarchical temporal models, Reinforcement learning and Deep learning.
Requirements
Work experience or proven aptitude as a Machine Learning Engineer.
Excellent understanding of tools/libraries/frameworks in the domain of Natural Language
Processing such as Tensorflow, Keras, Pytorch, fastAI, HuggingFace, Spacy, Gensim
Knowledge of CNN/RNN/LSTM networks, embedding models and their implementation.
Knowledge of BERT/Transformers, Seq-to-Seq architectures, BiLSTMs, CRFs, Attention models, Text summarization.
Superb communication skills and strong organizational abilities.
Attention to detail and problem-solving aptitude.
Job Type: Full-time
Salary: ₹50,000.00 to ₹100,000.00 /month
Education:
Bachelor's (Required)"
Artificial Intelligence / Machine Learning Engineer,"Pune, Maharashtra",Healthcoco Technologies,None,Organic,null
Machine Learning Engineer,"Bengaluru, Karnataka",Inkers,None,Organic,null
Machine Learning Engineer,"Gandhinagar, Gujarat",Kshatrainfotech pvt ltd,None,Organic,null
Artificial Intelligence & Machine Learning - Corporate train...,"Thiruvananthapuram, Kerala",Oracuz Info Tech Pvt Ltd,None,Organic,null
Artificial Intelligence and Machine learning Trainer,"Badarpur, Delhi",Digital School of Delhi,None,Organic,null
Teaching Faculty For Artificial Intelligence,"Ernakulam, Kerala",AI Hub,"₹15,000 - ₹30,000 a month",Organic,"A leading educational firm is looking for faculty members in Artificial Intelligence, Machine Learning, Data Science etc. Young and energetic experienced candidates with immense industrial knowledge should apply.
Job Types: Full-time, Contract
Salary: ₹15,000.00 to ₹30,000.00 /month"
Artificial Intelligence,"New Delhi, Delhi",Delvetech,None,Organic,"A leading educational firm is looking for faculty members in Artificial Intelligence, Machine Learning, Data Science etc. Young and energetic experienced candidates with immense industrial knowledge should apply.
Job Types: Full-time, Contract
Salary: ₹15,000.00 to ₹30,000.00 /month"
Artificial Intelligence,"Hyderabad, Telangana",Careerera,None,Organic,"A leading educational firm is looking for faculty members in Artificial Intelligence, Machine Learning, Data Science etc. Young and energetic experienced candidates with immense industrial knowledge should apply.
Job Types: Full-time, Contract
Salary: ₹15,000.00 to ₹30,000.00 /month"
Artificial Intelligence - NLP - Engineer,"Dadar, Mumbai, Maharashtra",Emotix Miko,"₹50,000 - ₹1,00,000 a month",Organic,"Summary
Miko is a Mumbai based advanced consumer robotics innovation lab passionate about bringing the best of technology to young learners everywhere and home to some of the world’s leading engineers, mathematicians, teachers and psychologists. Our robots have been designed for the age group of 5-10 and the company’s flagship product, Miko 2, is the first robot that uses playful, conversational learning to educate, engage and entertain kids and is best-selling in the US, UK and UAE besides India.
We are looking for an experienced AI-NLP engineer in the team. In this role, we expect you to have a strong logical reasoning and good mathematical skills with expertise in python deep learning frameworks. The ability to communicate effectively is essential.
Responsibilities
Designing and developing core AI/ML algorithms for diverse applications such as
sentence/document classification, language context understanding models, text search and processing, sentiment analysis, comprehension based question answering and dependency parsers
Regular interaction with the AI backend team for efficient development cycles.
Ensuring the timelines of AI production releases along with maintenance of services in thebproduction environment.
Keeping abreast of latest technologies/developments in AI such as releases of open source training libraries/frameworks, Hierarchical temporal models, Reinforcement learning and Deep learning.
Requirements
Work experience or proven aptitude as a Machine Learning Engineer.
Excellent understanding of tools/libraries/frameworks in the domain of Natural Language
Processing such as Tensorflow, Keras, Pytorch, fastAI, HuggingFace, Spacy, Gensim
Knowledge of CNN/RNN/LSTM networks, embedding models and their implementation.
Knowledge of BERT/Transformers, Seq-to-Seq architectures, BiLSTMs, CRFs, Attention models, Text summarization.
Superb communication skills and strong organizational abilities.
Attention to detail and problem-solving aptitude.
Job Type: Full-time
Salary: ₹50,000.00 to ₹100,000.00 /month
Education:
Bachelor's (Required)"
Trainer/ Faculty Member- Machine Learning,"Thane, Maharashtra",Itvedant,"₹35,000 - ₹45,000 a month",Organic,"Location – Andheri and Thane
About Us:
itvedant was started with the aim of bridging the gap between education and skills needed for the job with an intense passion for teaching. We are looking for dynamic and passionate people from the software industry to be the part of our family who can lead the team of students towards a bright future.
Job Brief:
We are looking for an expert Trainer/ Faculty Member who is confident in his/her conduct who is an experienced and professional Machine Learning Engineer with a capability of imparting the knowledge of Artificial Intelligence to the students.
Job Description:
Contribute in all phases of the development life-cycle of the students and training a dynamic team of students.
Should possess strong knowledge of Machine learning along with a passion for Artificial Intelligence.
Should stay up-to-date with the latest developments in the field.
Facilitating the students available resources such as curriculum, data, hardware, etc.
Upgrading the student’s knowledge quality by taking them through the important functionalities of Machine Learning as per the syllabus.
Sharply train the student’s minds in analyzing the Machine Learning Algorithms that could be used to solve the given problems.
Train and guide the students to analyze the errors and design strategies to overcome them.
Lead learning enhancement through developing assignment and assessment modules, integrate the use of advanced technology for upscaled training quality and develop plans to track and monitor the progress of students.
Should be capable of completing the assigned module in the given time.
Conduct regular research for further enhancement of curriculum on a regular basis.
Should be able to communicate and connect with students in an effective way.
Should be committed to deliver best in class training and a willingness to enrich careers.
Any other work allotted by the management
Skills Required:
Effective communication Skills.
Proficiency with deep learning framework such as Tensorflow.
Domain Expertise and ability to deliver.
Analytical Skills and problem solving.
Good Scripting and programming skills
Data-oriented personality
Qualification and Experience:
BE/BTech/MTech from a reputed institute.
2-3 Years of Industry experience.
Salary Range:
35k to 45k"
Data Science Developer,"Pune, Maharashtra",Ajira AI,None,Organic,"Location – Andheri and Thane
About Us:
itvedant was started with the aim of bridging the gap between education and skills needed for the job with an intense passion for teaching. We are looking for dynamic and passionate people from the software industry to be the part of our family who can lead the team of students towards a bright future.
Job Brief:
We are looking for an expert Trainer/ Faculty Member who is confident in his/her conduct who is an experienced and professional Machine Learning Engineer with a capability of imparting the knowledge of Artificial Intelligence to the students.
Job Description:
Contribute in all phases of the development life-cycle of the students and training a dynamic team of students.
Should possess strong knowledge of Machine learning along with a passion for Artificial Intelligence.
Should stay up-to-date with the latest developments in the field.
Facilitating the students available resources such as curriculum, data, hardware, etc.
Upgrading the student’s knowledge quality by taking them through the important functionalities of Machine Learning as per the syllabus.
Sharply train the student’s minds in analyzing the Machine Learning Algorithms that could be used to solve the given problems.
Train and guide the students to analyze the errors and design strategies to overcome them.
Lead learning enhancement through developing assignment and assessment modules, integrate the use of advanced technology for upscaled training quality and develop plans to track and monitor the progress of students.
Should be capable of completing the assigned module in the given time.
Conduct regular research for further enhancement of curriculum on a regular basis.
Should be able to communicate and connect with students in an effective way.
Should be committed to deliver best in class training and a willingness to enrich careers.
Any other work allotted by the management
Skills Required:
Effective communication Skills.
Proficiency with deep learning framework such as Tensorflow.
Domain Expertise and ability to deliver.
Analytical Skills and problem solving.
Good Scripting and programming skills
Data-oriented personality
Qualification and Experience:
BE/BTech/MTech from a reputed institute.
2-3 Years of Industry experience.
Salary Range:
35k to 45k"
Artificial Intelligence - Intern,"Bengaluru, Karnataka",Desk Nine Private Limited,None,Organic,"Location – Andheri and Thane
About Us:
itvedant was started with the aim of bridging the gap between education and skills needed for the job with an intense passion for teaching. We are looking for dynamic and passionate people from the software industry to be the part of our family who can lead the team of students towards a bright future.
Job Brief:
We are looking for an expert Trainer/ Faculty Member who is confident in his/her conduct who is an experienced and professional Machine Learning Engineer with a capability of imparting the knowledge of Artificial Intelligence to the students.
Job Description:
Contribute in all phases of the development life-cycle of the students and training a dynamic team of students.
Should possess strong knowledge of Machine learning along with a passion for Artificial Intelligence.
Should stay up-to-date with the latest developments in the field.
Facilitating the students available resources such as curriculum, data, hardware, etc.
Upgrading the student’s knowledge quality by taking them through the important functionalities of Machine Learning as per the syllabus.
Sharply train the student’s minds in analyzing the Machine Learning Algorithms that could be used to solve the given problems.
Train and guide the students to analyze the errors and design strategies to overcome them.
Lead learning enhancement through developing assignment and assessment modules, integrate the use of advanced technology for upscaled training quality and develop plans to track and monitor the progress of students.
Should be capable of completing the assigned module in the given time.
Conduct regular research for further enhancement of curriculum on a regular basis.
Should be able to communicate and connect with students in an effective way.
Should be committed to deliver best in class training and a willingness to enrich careers.
Any other work allotted by the management
Skills Required:
Effective communication Skills.
Proficiency with deep learning framework such as Tensorflow.
Domain Expertise and ability to deliver.
Analytical Skills and problem solving.
Good Scripting and programming skills
Data-oriented personality
Qualification and Experience:
BE/BTech/MTech from a reputed institute.
2-3 Years of Industry experience.
Salary Range:
35k to 45k"
Talent Acquisition specialist,"Hyderabad, Telangana",WAVELABS TECHNOLOGIES,None,Organic,"Location – Andheri and Thane
About Us:
itvedant was started with the aim of bridging the gap between education and skills needed for the job with an intense passion for teaching. We are looking for dynamic and passionate people from the software industry to be the part of our family who can lead the team of students towards a bright future.
Job Brief:
We are looking for an expert Trainer/ Faculty Member who is confident in his/her conduct who is an experienced and professional Machine Learning Engineer with a capability of imparting the knowledge of Artificial Intelligence to the students.
Job Description:
Contribute in all phases of the development life-cycle of the students and training a dynamic team of students.
Should possess strong knowledge of Machine learning along with a passion for Artificial Intelligence.
Should stay up-to-date with the latest developments in the field.
Facilitating the students available resources such as curriculum, data, hardware, etc.
Upgrading the student’s knowledge quality by taking them through the important functionalities of Machine Learning as per the syllabus.
Sharply train the student’s minds in analyzing the Machine Learning Algorithms that could be used to solve the given problems.
Train and guide the students to analyze the errors and design strategies to overcome them.
Lead learning enhancement through developing assignment and assessment modules, integrate the use of advanced technology for upscaled training quality and develop plans to track and monitor the progress of students.
Should be capable of completing the assigned module in the given time.
Conduct regular research for further enhancement of curriculum on a regular basis.
Should be able to communicate and connect with students in an effective way.
Should be committed to deliver best in class training and a willingness to enrich careers.
Any other work allotted by the management
Skills Required:
Effective communication Skills.
Proficiency with deep learning framework such as Tensorflow.
Domain Expertise and ability to deliver.
Analytical Skills and problem solving.
Good Scripting and programming skills
Data-oriented personality
Qualification and Experience:
BE/BTech/MTech from a reputed institute.
2-3 Years of Industry experience.
Salary Range:
35k to 45k"
Data Scientist Intern,"Gurgaon, Haryana",AISPL - Delhi,None,Organic,"Location – Andheri and Thane
About Us:
itvedant was started with the aim of bridging the gap between education and skills needed for the job with an intense passion for teaching. We are looking for dynamic and passionate people from the software industry to be the part of our family who can lead the team of students towards a bright future.
Job Brief:
We are looking for an expert Trainer/ Faculty Member who is confident in his/her conduct who is an experienced and professional Machine Learning Engineer with a capability of imparting the knowledge of Artificial Intelligence to the students.
Job Description:
Contribute in all phases of the development life-cycle of the students and training a dynamic team of students.
Should possess strong knowledge of Machine learning along with a passion for Artificial Intelligence.
Should stay up-to-date with the latest developments in the field.
Facilitating the students available resources such as curriculum, data, hardware, etc.
Upgrading the student’s knowledge quality by taking them through the important functionalities of Machine Learning as per the syllabus.
Sharply train the student’s minds in analyzing the Machine Learning Algorithms that could be used to solve the given problems.
Train and guide the students to analyze the errors and design strategies to overcome them.
Lead learning enhancement through developing assignment and assessment modules, integrate the use of advanced technology for upscaled training quality and develop plans to track and monitor the progress of students.
Should be capable of completing the assigned module in the given time.
Conduct regular research for further enhancement of curriculum on a regular basis.
Should be able to communicate and connect with students in an effective way.
Should be committed to deliver best in class training and a willingness to enrich careers.
Any other work allotted by the management
Skills Required:
Effective communication Skills.
Proficiency with deep learning framework such as Tensorflow.
Domain Expertise and ability to deliver.
Analytical Skills and problem solving.
Good Scripting and programming skills
Data-oriented personality
Qualification and Experience:
BE/BTech/MTech from a reputed institute.
2-3 Years of Industry experience.
Salary Range:
35k to 45k"
"Public Policy Director, India - Data Economy and Emerging Te...","Gurgaon, Haryana",Facebook,None,Organic,"Location – Andheri and Thane
About Us:
itvedant was started with the aim of bridging the gap between education and skills needed for the job with an intense passion for teaching. We are looking for dynamic and passionate people from the software industry to be the part of our family who can lead the team of students towards a bright future.
Job Brief:
We are looking for an expert Trainer/ Faculty Member who is confident in his/her conduct who is an experienced and professional Machine Learning Engineer with a capability of imparting the knowledge of Artificial Intelligence to the students.
Job Description:
Contribute in all phases of the development life-cycle of the students and training a dynamic team of students.
Should possess strong knowledge of Machine learning along with a passion for Artificial Intelligence.
Should stay up-to-date with the latest developments in the field.
Facilitating the students available resources such as curriculum, data, hardware, etc.
Upgrading the student’s knowledge quality by taking them through the important functionalities of Machine Learning as per the syllabus.
Sharply train the student’s minds in analyzing the Machine Learning Algorithms that could be used to solve the given problems.
Train and guide the students to analyze the errors and design strategies to overcome them.
Lead learning enhancement through developing assignment and assessment modules, integrate the use of advanced technology for upscaled training quality and develop plans to track and monitor the progress of students.
Should be capable of completing the assigned module in the given time.
Conduct regular research for further enhancement of curriculum on a regular basis.
Should be able to communicate and connect with students in an effective way.
Should be committed to deliver best in class training and a willingness to enrich careers.
Any other work allotted by the management
Skills Required:
Effective communication Skills.
Proficiency with deep learning framework such as Tensorflow.
Domain Expertise and ability to deliver.
Analytical Skills and problem solving.
Good Scripting and programming skills
Data-oriented personality
Qualification and Experience:
BE/BTech/MTech from a reputed institute.
2-3 Years of Industry experience.
Salary Range:
35k to 45k"
Artificial Intelligence / Machine Learning Engineer,"Bengaluru, Karnataka",Hewlett Packard Enterprise,None,Organic,null
"Director, Compilers for Deep Learning","Bengaluru, Karnataka",Intel,None,Organic,null
Research Engineer - Data Analytics & Artificial Intelligence...,"Bengaluru, Karnataka",Siemens AG,None,Organic,null
Data Science Developer,"Pune, Maharashtra",Ajira AI,None,Organic,null
Artificial Intelligence & Machine Learning - Corporate train...,"Thiruvananthapuram, Kerala",Oracuz Info Tech Pvt Ltd,None,Organic,null
Teaching Assistant for Artificial Intelligence,"Kolkata, West Bengal","Data-Core Systems, Inc.",None,Organic,null
Jr. Data Analyst,"Navi Mumbai, Maharashtra",Sciative Solutrions,None,Organic,null
Data Science Intern,"Kolkata, West Bengal",newAmps Consulting,"₹7,000 - ₹8,000 a month",Organic,"Stipend
As per the industry standard

Location
Kolkata

Job Information
Industry:
IT (Data Science)
Skills:
Basic knowledge in Machine Learning, Artificial Intelligence, Natural Language Processing, Python, Angular. Must be proficient in working Java Script.
Education:
B. Tech is preferred, along with MBA.
Duration of Internship:
6 Months.

Employment Type
Full Time

Experience
Fresher."
